is_client_new;is_clientfinalta_active;y;type;region;source;was_closed_at_contact;tenure_days;day;month;campaign;age;credit_amount;credite_active;deposit_active;deposit_amount
0;1;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;646.0;23;1;7;39;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;759.0;18;4;353;34;0;N;Y;0
0;1;0;ММБ;Другое;Онлайн;0;758.0;11;4;3;33;0;N;Y;0
0;1;0;ММБ; Мытищи;unknown;0;793.0;15;5;5;51;0;N;Y;0
0;1;0;ММБ; Тольятти;Онлайн;0;741.0;11;4;17;35;0;N;Y;0
1;1;0;ММБ; Тверь;Онлайн;0;877.0;14;8;6;50;0;N;Y;0
0;1;0;ММБ; Челябинск;unknown;0;877.0;14;8;10;35;0;N;Y;0
0;1;0;ММБ; Сочи;Партнер;0;796.0;22;5;6;54;0;N;Y;0
0;1;0;ММБ;" Санкт-Петербург Тер-рия ""Север""";unknown;0;772.0;11;4;20;35;0;N;Y;0
0;1;1;ММБ; Санкт-Петербург;Партнер;0;866.0;14;8;22;27;0;N;Y;0
0;0;0;ММБ; Санкт-Петербург;Онлайн;0;787.0;26;6;7;39;0;N;Y;350000
0;1;0;ММБ; Калининград;Онлайн;0;698.0;29;3;5;37;0;N;Y;0
0;1;0;ММБ; Красногорск;Онлайн;0;673.0;3;3;14;39;0;N;Y;0
0;0;0;ММБ;Другое;unknown;0;782.0;26;6;7;41;0;N;Y;0
0;1;0;ММБ; Кемерово;unknown;0;805.0;23;8;11;52;0;N;Y;0
0;1;0;ММБ; Уфа;Онлайн;0;839.0;23;8;12;38;0;N;Y;0
0;0;0;ММБ;" Москва Тер-рия ""Восток""";unknown;0;852.0;30;8;17;36;0;N;Y;0
0;1;0;ММБ; Самара;Онлайн;0;855.0;9;9;5;33;0;N;Y;0
0;0;0;ММБ;" Москва Тер-рия ""Запад""";unknown;0;791.0;12;7;6;24;0;N;Y;0
0;1;0;ММБ; Новосибирск;Партнер;0;787.0;26;6;5;25;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";unknown;0;684.0;15;3;8;42;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;810.0;2;8;20;38;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;696.0;18;4;6;36;0;N;Y;0
0;1;0;ММБ; Воронеж;Онлайн;0;668.0;15;3;21;31;0;N;Y;0
0;1;0;ММБ; Самара;Онлайн;0;656.0;6;3;10;26;0;N;Y;0
0;1;0;ММБ; Ижевск;unknown;0;782.0;18;7;4;34;0;N;Y;0
0;1;0;ММБ; Химки;Онлайн;0;773.0;12;6;10;47;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";Онлайн;0;724.0;22;5;8;44;0;N;Y;0
0;1;0;ММБ; Ростов-на-Дону;Партнер;0;665.0;15;3;20;37;0;N;Y;0
0;1;0;ММБ; Липецк;Онлайн;0;641.0;21;2;17;30;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Отделение;0;743.0;11;4;24;38;0;N;Y;0
1;0;0;ММБ;" Москва Тер-рия ""Запад""";unknown;0;833.0;12;7;8;33;0;N;Y;0
0;1;0;СКБ; Омск;Партнер;0;706.0;3;3;1;31;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;731.0;29;3;4;32;0;N;Y;0
0;1;0;ММБ; Ульяновск;unknown;0;691.0;21;2;6;34;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";Отделение;0;741.0;11;4;7;54;0;N;Y;0
0;1;1;ММБ;" Москва Тер-рия ""Юг""";unknown;0;712.0;15;3;175;43;0;N;Y;8000000
0;1;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;873.0;30;8;4;37;0;N;Y;0
0;1;0;ММБ;" Санкт-Петербург Тер-рия ""Север""";unknown;0;701.0;6;3;9;56;0;N;Y;0
0;1;0;ММБ; Барнаул;unknown;0;666.0;30;1;10;32;0;N;Y;10000000
1;1;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;727.0;4;4;4;43;0;N;Y;0
0;1;0;ММБ; Сочи;unknown;0;695.0;3;3;10;121;0;N;Y;0
0;1;0;ММБ; Мытищи;Партнер;0;817.0;26;6;9;44;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";Отделение;0;857.0;14;8;4;30;0;N;Y;0
0;1;0;ММБ; Казань;Онлайн;0;875.0;15;11;7;32;0;N;Y;0
0;1;0;ММБ; Тюмень;unknown;0;627.0;14;8;5;43;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;572.0;23;1;3;54;0;N;Y;0
0;1;0;ММБ; Пермь;Онлайн;0;704.0;15;3;4;31;0;N;Y;0
0;1;0;ММБ; Красногорск;Онлайн;0;741.0;11;4;28;33;0;N;Y;0
0;0;0;ММБ; Нижний Новгород;Онлайн;0;704.0;15;3;9;60;0;N;Y;0
0;1;0;ММБ; Тольятти;unknown;0;782.0;22;5;4;56;0;N;Y;0
0;1;0;ММБ; Владивосток;Отделение;0;852.0;14;8;9;46;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";unknown;0;857.0;16;8;5;47;368481.3;Y;Y;0
1;1;0;ММБ;Другое;Отделение;0;699.0;15;3;9;42;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";Онлайн;0;842.0;14;8;17;39;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;725.0;11;4;3;40;0;N;Y;0
0;0;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;723.0;11;4;6;48;0;N;Y;0
0;1;0;ММБ; Сочи;Онлайн;0;767.0;29;5;7;34;0;N;Y;0
0;1;0;ММБ; Уфа;Партнер;0;698.0;15;3;10;35;0;N;Y;0
0;1;0;ММБ; Волгоград;Онлайн;0;684.0;6;3;8;35;0;N;Y;0
0;0;1;ММБ; Санкт-Петербург;unknown;0;723.0;11;4;154;31;267333.63;Y;N;0
0;1;0;ММБ;Другое;Другое;0;837.0;14;8;9;32;0;N;Y;0
0;0;0;ММБ; Казань;Онлайн;0;670.0;27;2;6;32;0;N;Y;0
0;1;0;ММБ; Новосибирск;Онлайн;0;818.0;18;7;13;44;0;N;Y;0
0;1;0;ММБ; Ижевск;Онлайн;0;692.0;15;3;11;31;0;N;Y;0
0;1;0;ММБ; Воронеж;unknown;0;967.0;18;12;12;33;0;N;Y;0
0;0;0;ММБ; Санкт-Петербург;unknown;0;719.0;11;4;2;56;0;N;Y;0
1;1;0;ММБ; Уфа;Онлайн;0;692.0;15;3;4;38;0;N;Y;0
0;0;0;ММБ; Воронеж;Онлайн;0;814.0;18;7;3;28;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";unknown;0;843.0;14;8;4;31;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Партнер;0;792.0;26;6;16;34;0;N;Y;0
0;1;0;ММБ; Красногорск;Онлайн;0;782.0;21;8;2;54;0;N;Y;0
0;0;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;686.0;15;3;2;49;0;N;Y;0
0;0;1;ММБ;" Москва Тер-рия ""Восток""";unknown;0;773.0;21;8;150;44;0;N;Y;0
0;1;0;ММБ; Набережные Челны;unknown;0;751.0;18;7;5;55;0;N;Y;0
0;0;0;ММБ;" Санкт-Петербург Тер-рия ""Юг""";Партнер;0;666.0;25;4;11;43;1451388.84;Y;Y;0
0;1;0;ММБ; Новосибирск;unknown;0;742.0;12;7;154;32;0;N;Y;0
0;1;0;ММБ; Саранск;unknown;0;622.0;15;3;9;36;0;N;Y;0
0;0;0;ММБ; Кемерово;unknown;0;775.0;14;8;17;29;0;N;Y;0
0;1;0;ММБ; Чебоксары;Партнер;0;531.0;15;3;15;47;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Запад""";unknown;0;333.0;30;8;7;34;0;N;Y;0
0;1;0;ММБ; Нижний Новгород;Онлайн;0;775.0;14;8;12;30;0;N;Y;0
0;1;0;ММБ; Чебоксары;unknown;0;793.0;9;9;13;35;0;N;Y;0
0;0;0;ММБ;" Москва Тер-рия ""Юг""";Партнер;0;707.0;23;6;4;31;0;N;Y;0
1;1;0;ММБ; Краснодар;Выездной канал;0;868.0;22;11;2;34;1560000;Y;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;557.0;17;1;1;121;0;N;Y;0
0;1;0;ММБ; Краснодар;Онлайн;0;887.0;13;12;36;50;0;N;Y;0
0;1;0;ММБ; Уфа;unknown;0;657.0;18;4;9;49;0;N;Y;0
0;1;0;ММБ; Челябинск;Онлайн;0;789.0;11;9;14;47;0;N;Y;0
0;1;0;ММБ; Липецк;Партнер;0;623.0;15;3;14;36;0;N;Y;0
0;1;1;ММБ; Иркутск;unknown;0;908.0;15;11;35;34;0;N;Y;0
0;1;0;ММБ; Рязань;unknown;0;209.0;18;7;5;39;0;N;Y;0
0;1;0;ММБ; Тольятти;unknown;0;656.0;15;3;29;36;0;N;Y;0
1;0;0;ММБ; Ижевск;Партнер;0;782.0;18;7;2;42;0;N;Y;0
1;0;0;ММБ; Хабаровск;unknown;0;807.0;14;8;9;36;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Север""";Онлайн;0;759.0;14;8;4;30;0;N;Y;0
0;1;0;ММБ; Ростов-на-Дону;Онлайн;0;807.0;14;8;10;47;0;N;Y;0
0;0;0;ММБ; Омск;unknown;0;644.0;3;3;3;61;0;N;Y;0
0;1;0;ММБ; Новосибирск;Онлайн;0;625.0;3;3;9;42;0;N;Y;0
1;0;0;ММБ; Волгоград;Партнер;0;654.0;15;3;26;33;0;N;Y;0
0;1;0;ММБ; Краснодар;Онлайн;0;743.0;12;6;4;54;0;N;Y;0
0;0;0;ММБ; Белгород;unknown;0;655.0;15;3;20;34;0;N;Y;0
0;1;0;ММБ;Другое;unknown;0;651.0;15;3;12;39;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";unknown;0;815.0;23;8;4;33;0;N;Y;0
0;1;0;ММБ;" Санкт-Петербург Тер-рия ""Юг""";unknown;0;815.0;23;8;13;37;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;620.0;13;2;1;43;0;N;Y;0
0;1;0;ММБ; Самара;Выездной канал;0;684.0;18;4;3;42;0;N;Y;0
0;1;0;ММБ; Сочи;Партнер;0;671.0;11;4;3;39;0;N;Y;0
0;1;0;ММБ;Другое;Партнер;0;805.0;14;8;2;55;0;N;Y;0
0;1;0;ММБ; Мурманск;Партнер;0;756.0;26;6;14;56;0;N;Y;0
0;1;0;ММБ; Оренбург;Партнер;0;778.0;18;7;4;61;0;N;Y;0
0;1;0;ММБ; Иркутск;unknown;0;805.0;14;8;2;41;0;N;Y;0
0;1;0;СКБ;Другое;unknown;0;661.0;28;3;6;60;0;N;Y;0
0;1;0;ММБ; Калининград;unknown;0;647.0;15;3;11;34;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;596.0;23;1;12;61;0;N;Y;0
0;0;1;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;680.0;11;4;63;48;0;N;Y;0
0;1;0;ММБ; Ростов-на-Дону;unknown;0;805.0;14;8;15;45;7661.19;Y;N;0
0;1;0;ММБ;" Санкт-Петербург Тер-рия ""Север""";unknown;0;805.0;14;8;14;41;0;N;Y;0
0;0;0;ММБ; Санкт-Петербург;Онлайн;0;662.0;11;4;1;43;0;N;Y;0
0;1;0;ММБ; Тольятти;Онлайн;0;653.0;15;3;10;31;0;N;Y;0
1;0;0;ММБ; Ставрополь;Партнер;0;795.0;21;8;7;37;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Партнер;0;789.0;14;8;10;33;0;N;Y;0
1;0;0;ММБ; Ставрополь;unknown;0;676.0;25;4;35;46;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Центр""";unknown;0;651.0;31;3;5;50;0;N;Y;0
0;1;0;ММБ; Тольятти;unknown;0;687.0;18;4;220;45;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";unknown;0;691.0;15;5;7;49;0;N;Y;0
1;1;0;ММБ;" Москва Тер-рия ""Восток""";Партнер;0;622.0;3;3;2;63;0;N;Y;0
0;1;0;ММБ; Кемерово;unknown;0;634.0;15;3;10;37;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";unknown;0;785.0;14;8;1;38;0;N;Y;0
1;1;0;ММБ;" Санкт-Петербург Тер-рия ""Юг""";Партнер;0;794.0;23;8;6;40;0;N;Y;0
1;0;0;ММБ; Калуга;Онлайн;0;757.0;18;7;3;41;0;N;Y;0
0;0;1;ММБ; Ростов-на-Дону;unknown;0;667.0;18;4;138;51;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Партнер;0;698.0;22;5;2;52;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";unknown;0;588.0;1;2;10;55;0;N;Y;0
0;1;0;ММБ; Мурманск;unknown;0;875.0;15;11;24;43;0;N;Y;0
0;1;0;ММБ; Хабаровск;Партнер;0;577.0;23;1;2;35;0;N;Y;0
1;0;1;ММБ; Красноярск;unknown;0;780.0;14;8;114;41;0;N;Y;0
0;0;1;ММБ; Нижний Тагил;unknown;0;781.0;14;8;182;47;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Запад""";Партнер;0;661.0;15;5;9;30;0;N;Y;0
0;1;0;ММБ; Оренбург;unknown;0;622.0;14;8;5;37;0;N;Y;0
